Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM_TestSuite_Search_002,Firefox 115.0,,,27-01-2024 19:35:30,27-01-2024 19:36:04,33.718s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,27-01-2024 19:35:43,27-01-2024 19:35:45,1.798s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,27-01-2024 19:35:43,27-01-2024 19:35:44,0.737s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:44,27-01-2024 19:35:44,0.514s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:44,27-01-2024 19:35:45,0.500s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,27-01-2024 19:35:45,27-01-2024 19:35:47,1.709s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,27-01-2024 19:35:45,27-01-2024 19:35:45,0.528s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:45,27-01-2024 19:35:46,0.708s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:46,27-01-2024 19:35:47,0.461s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,27-01-2024 19:35:47,27-01-2024 19:35:48,1.707s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,27-01-2024 19:35:47,27-01-2024 19:35:47,0.539s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:47,27-01-2024 19:35:48,0.689s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:48,27-01-2024 19:35:48,0.464s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,27-01-2024 19:35:48,27-01-2024 19:35:50,1.682s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,27-01-2024 19:35:48,27-01-2024 19:35:49,0.515s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:49,27-01-2024 19:35:50,0.695s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:50,27-01-2024 19:35:50,0.453s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,27-01-2024 19:35:50,27-01-2024 19:35:52,1.721s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,27-01-2024 19:35:50,27-01-2024 19:35:51,0.520s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:51,27-01-2024 19:35:51,0.732s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:51,27-01-2024 19:35:52,0.454s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,27-01-2024 19:35:52,27-01-2024 19:35:53,1.685s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,27-01-2024 19:35:52,27-01-2024 19:35:52,0.521s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:52,27-01-2024 19:35:53,0.698s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:53,27-01-2024 19:35:53,0.455s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,27-01-2024 19:35:53,27-01-2024 19:35:55,1.671s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,27-01-2024 19:35:53,27-01-2024 19:35:54,0.507s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:54,27-01-2024 19:35:55,0.690s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:55,27-01-2024 19:35:55,0.458s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,27-01-2024 19:35:55,27-01-2024 19:35:57,1.686s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,27-01-2024 19:35:55,27-01-2024 19:35:56,0.528s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:56,27-01-2024 19:35:56,0.691s,PASSED
"verifyElementText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/span_search""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:56,27-01-2024 19:35:57,0.450s,PASSED
,,,,,,,
Test Cases/Data Driven/TC_OrangeHRM_Search_004,Firefox 115.0,,,27-01-2024 19:35:57,27-01-2024 19:35:58,1.679s,PASSED
Start setup action : setupTestCase,Firefox 115.0,,,27-01-2024 19:35:57,27-01-2024 19:35:57,0.514s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRMPages/OrangeHRM_Search_OR/input_Admin_oxd-input oxd-input--focus""), searchItem)",Firefox 115.0,,,27-01-2024 19:35:57,27-01-2024 19:35:58,0.692s,PASSED
